Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","NTC",Ch1NTC,"v3v4","Manual",0.71,QX200 ddPCR EvaGreen Supermix,14.2,,,1.2,0.53,12,19769,,,,,,19781,,,,,,,,,,,,,,,,,,1,1,10368,13366,8840.4,8843.1,"Absolute Quantification Experiment",,,,0.94,0,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","MA002",Ch1Unknown,"v3v4","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,7996,2202,,,,,,10198,,,,,,,,,,,,,,,,,,1,1,10368,20688,7995,17947,"Absolute Quantification Experiment",,,,,,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","MA003",Ch1Unknown,"v3v4","Manual",1311,QX200 ddPCR EvaGreen Supermix,26220,,,1337,1297,10516,5138,,,,,,15654,,,,,,,,,,,,,,,,,,1,1,10368,21534,8122.8,17132,"Absolute Quantification Experiment",,,,1300,0,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","MA004",Ch1Unknown,"v3v4","Manual",2815,QX200 ddPCR EvaGreen Supermix,56300,,,2876,2785,13353,1343,,,,,,14696,,,,,,,,,,,,,,,,,,1,1,10368,21170,8253.5,19990,"Absolute Quantification Experiment",,,,2800,0,,,,,,,,,,,,,
"A05",Absolute Quantification,"ABS","MA005",Ch1Unknown,"v3v4","Manual",1461,QX200 ddPCR EvaGreen Supermix,29220,,,1504,1440,5392,2189,,,,,,7581,,,,,,,,,,,,,,,,,,1,1,10368,19938,8081.3,16514,"Absolute Quantification Experiment",,,,1500,0,,,,,,,,,,,,,
"A06",Absolute Quantification,"ABS","MA006",Ch1Unknown,"v3v4","Manual",2721,QX200 ddPCR EvaGreen Supermix,54420,,,2782,2691,12177,1338,,,,,,13515,,,,,,,,,,,,,,,,,,1,1,10368,20490,7893.3,19243,"Absolute Quantification Experiment",,,,2800,0,,,,,,,,,,,,,
"A07",Absolute Quantification,"ABS","MA007",Ch1Unknown,"v3v4","Manual",3044,QX200 ddPCR EvaGreen Supermix,60880,,,3109,3012,15001,1220,,,,,,16221,,,,,,,,,,,,,,,,,,1,1,10368,21074,7692.5,20067,"Absolute Quantification Experiment",,,,3100,0,,,,,,,,,,,,,
"A08",Absolute Quantification,"ABS","MA008",Ch1Unknown,"v3v4","Manual",2444,QX200 ddPCR EvaGreen Supermix,48880,,,2493,2420,14030,2009,,,,,,16039,,,,,,,,,,,,,,,,,,1,1,10368,21563,7418.1,19792,"Absolute Quantification Experiment",,,,2500,0,,,,,,,,,,,,,
"A09",Absolute Quantification,"ABS","MA009",Ch1Unknown,"v3v4","Manual",2530,QX200 ddPCR EvaGreen Supermix,50600,,,2586,2502,11857,1563,,,,,,13420,,,,,,,,,,,,,,,,,,1,1,10368,20894,7330.7,19315,"Absolute Quantification Experiment",,,,2600,0,,,,,,,,,,,,,
"A10",Absolute Quantification,"ABS","MA010",Ch1Unknown,"v3v4","Manual",3160,QX200 ddPCR EvaGreen Supermix,63200,,,3230,3130,15819,1152,,,,,,16971,,,,,,,,,,,,,,,,,,1,1,10368,21137,7421.5,20206,"Absolute Quantification Experiment",,,,3200,0,,,,,,,,,,,,,
