Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01,Absolute Quantification,""ABS"",""SA001"",Ch1Unknown,""v3v4"",""Manual"",974,QX200 ddPCR EvaGreen Supermix,19480,,,996,963,7975,6190,,,,,,14165,,,,,,,,,,,,,,,,,,1,1,13004,22177,11242,17398,""Absolute Quantification Experiment"",,,,990,0,,,,,,,,,,,,,"
"B01,Absolute Quantification,""ABS"",""SB001"",Ch1Unknown,""v3v4"",""Manual"",2254,QX200 ddPCR EvaGreen Supermix,45080,,,2295,2233,15847,2736,,,,,,18583,,,,,,,,,,,,,,,,,,1,1,13004,22979,11745,21325,""Absolute Quantification Experiment"",,,,2300,0,,,,,,,,,,,,,"
"C01,Absolute Quantification,""ABS"",""SC001"",Ch1Unknown,""v3v4"",""Manual"",2721,QX200 ddPCR EvaGreen Supermix,54420,,,2771,2697,18251,2004,,,,,,20255,,,,,,,,,,,,,,,,,,1,1,13004,20242,11466,19374,""Absolute Quantification Experiment"",,,,2700,0,,,,,,,,,,,,,"
"D01,Absolute Quantification,""ABS"",""SD001"",Ch1Unknown,""v3v4"",""Manual"",2620,QX200 ddPCR EvaGreen Supermix,52400,,,2667,2597,18208,2201,,,,,,20409,,,,,,,,,,,,,,,,,,1,1,13004,21461,11999,20441,""Absolute Quantification Experiment"",,,,2600,0,,,,,,,,,,,,,"
"E01,Absolute Quantification,""ABS"",""SE001"",Ch1Unknown,""v3v4"",""Manual"",2530,QX200 ddPCR EvaGreen Supermix,50600,,,2578,2507,16162,2129,,,,,,18291,,,,,,,,,,,,,,,,,,1,1,13004,21148,11706,20049,""Absolute Quantification Experiment"",,,,2600,0,,,,,,,,,,,,,"
"F01,Absolute Quantification,""ABS"",""SF001"",Ch1Unknown,""v3v4"",""Manual"",69.8,QX200 ddPCR EvaGreen Supermix,1396,,,73.8,67.7,1137,18605,,,,,,19742,,,,,,,,,,,,,,,,,,1,1,13004,22649,11457,12102,""Absolute Quantification Experiment"",,,,72,0,,,,,,,,,,,,,"
"G01,Absolute Quantification,""ABS"",""SG001"",Ch1Unknown,""v3v4"",""Manual"",2468,QX200 ddPCR EvaGreen Supermix,49360,,,2514,2445,16416,2296,,,,,,18712,,,,,,,,,,,,,,,,,,1,1,13004,22501,11294,21126,""Absolute Quantification Experiment"",,,,2500,0,,,,,,,,,,,,,"
"H01,Absolute Quantification,""ABS"",""SH001"",Ch1Unknown,""v3v4"",""Manual"",2230,QX200 ddPCR EvaGreen Supermix,44600,,,2273,2209,14672,2593,,,,,,17265,,,,,,,,,,,,,,,,,,1,1,13004,21727,11680,20218,""Absolute Quantification Experiment"",,,,2300,0,,,,,,,,,,,,,"
"A02,Absolute Quantification,""ABS"",""SA002"",Ch1Unknown,""v3v4"",""Manual"",1901,QX200 ddPCR EvaGreen Supermix,38020,,,1955,1875,6202,1538,,,,,,7740,,,,,,,,,,,,,,,,,,1,1,13004,20413,8148.3,17976,""Absolute Quantification Experiment"",,,,1900,0,,,,,,,,,,,,,"
"B02,Absolute Quantification,""ABS"",""SB002"",Ch1Unknown,""v3v4"",""Manual"",2227,QX200 ddPCR EvaGreen Supermix,44540,,,2270,2205,14291,2535,,,,,,16826,,,,,,,,,,,,,,,,,,1,1,13004,23133,11299,21350,""Absolute Quantification Experiment"",,,,2200,0,,,,,,,,,,,,,"
"C02,Absolute Quantification,""ABS"",""SC002"",Ch1Unknown,""v3v4"",""Manual"",2164,QX200 ddPCR EvaGreen Supermix,43280,,,2204,2145,15599,2946,,,,,,18545,,,,,,,,,,,,,,,,,,1,1,13004,21306,11139,19691,""Absolute Quantification Experiment"",,,,2200,0,,,,,,,,,,,,,"
"D02,Absolute Quantification,""ABS"",""SD002"",Ch1Unknown,""v3v4"",""Manual"",3163,QX200 ddPCR EvaGreen Supermix,63260,,,3230,3130,16084,1173,,,,,,17257,,,,,,,,,,,,,,,,,,1,1,13004,22027,11418,21306,""Absolute Quantification Experiment"",,,,3200,0,,,,,,,,,,,,,"
"E02,Absolute Quantification,""ABS"",""SE002"",Ch1Unknown,""v3v4"",""Manual"",0.13,QX200 ddPCR EvaGreen Supermix,2.6,,,0.42,0.06,2,17982,,,,,,17984,,,,,,,,,,,,,,,,,,1,1,13004,14458,11541,11541,""Absolute Quantification Experiment"",,,,0.25,0,,,,,,,,,,,,,"
"F02,Absolute Quantification,""ABS"",""SF002"",Ch1Unknown,""v3v4"",""Manual"",2732,QX200 ddPCR EvaGreen Supermix,54640,,,2784,2706,16777,1824,,,,,,18601,,,,,,,,,,,,,,,,,,1,1,13004,23126,11053,21942,""Absolute Quantification Experiment"",,,,2800,0,,,,,,,,,,,,,"
"G02,Absolute Quantification,""ABS"",""SG002"",Ch1Unknown,""v3v4"",""Manual"",2846,QX200 ddPCR EvaGreen Supermix,56920,,,2903,2819,16444,1606,,,,,,18050,,,,,,,,,,,,,,,,,,1,1,13004,23570,11227,22472,""Absolute Quantification Experiment"",,,,2900,0,,,,,,,,,,,,,"
"H02,Absolute Quantification,""ABS"",""SH002"",Ch1Unknown,""v3v4"",""Manual"",2970,QX200 ddPCR EvaGreen Supermix,59400,,,3028,2942,18131,1578,,,,,,19709,,,,,,,,,,,,,,,,,,1,1,13004,21293,11380,20500,""Absolute Quantification Experiment"",,,,3000,0,,,,,,,,,,,,,"
"A03,Absolute Quantification,""ABS"",""SA003"",Ch1Unknown,""v3v4"",""Manual"",870,QX200 ddPCR EvaGreen Supermix,17400,,,889,860,8699,7947,,,,,,16646,,,,,,,,,,,,,,,,,,1,1,13004,22058,11044,16799,""Absolute Quantification Experiment"",,,,880,0,,,,,,,,,,,,,"
"B03,Absolute Quantification,""ABS"",""SB003"",Ch1Unknown,""v3v4"",""Manual"",1363,QX200 ddPCR EvaGreen Supermix,27260,,,1390,1350,11283,5163,,,,,,16446,,,,,,,,,,,,,,,,,,1,1,13004,21237,10843,17974,""Absolute Quantification Experiment"",,,,1400,0,,,,,,,,,,,,,"
"C03,Absolute Quantification,""ABS"",""SC003"",Ch1Unknown,""v3v4"",""Manual"",2474,QX200 ddPCR EvaGreen Supermix,49480,,,2520,2450,15897,2212,,,,,,18109,,,,,,,,,,,,,,,,,,1,1,13004,19904,11139,18833,""Absolute Quantification Experiment"",,,,2500,0,,,,,,,,,,,,,"
"D03,Absolute Quantification,""ABS"",""SD003"",Ch1Unknown,""v3v4"",""Manual"",2868,QX200 ddPCR EvaGreen Supermix,57360,,,2928,2839,14908,1427,,,,,,16335,,,,,,,,,,,,,,,,,,1,1,13004,21815,10732,20847,""Absolute Quantification Experiment"",,,,2900,0,,,,,,,,,,,,,"
"E03,Absolute Quantification,""ABS"",""SE003"",Ch1Unknown,""v3v4"",""Manual"",1.03,QX200 ddPCR EvaGreen Supermix,20.6,,,1.67,0.78,14,16028,,,,,,16042,,,,,,,,,,,,,,,,,,1,1,13004,18871,11134,11141,""Absolute Quantification Experiment"",,,,1.3,0,,,,,,,,,,,,,"
"F03,Absolute Quantification,""ABS"",""SF003"",Ch1Unknown,""v3v4"",""Manual"",2243,QX200 ddPCR EvaGreen Supermix,44860,,,2287,2221,13894,2426,,,,,,16320,,,,,,,,,,,,,,,,,,1,1,13004,22478,10987,20770,""Absolute Quantification Experiment"",,,,2300,0,,,,,,,,,,,,,"
"G03,Absolute Quantification,""ABS"",""SG003"",Ch1Unknown,""v3v4"",""Manual"",2450,QX200 ddPCR EvaGreen Supermix,49000,,,2498,2426,14494,2064,,,,,,16558,,,,,,,,,,,,,,,,,,1,1,13004,22350,10785,20908,""Absolute Quantification Experiment"",,,,2500,0,,,,,,,,,,,,,"
"H03,Absolute Quantification,""ABS"",""SH003"",Ch1Unknown,""v3v4"",""Manual"",84.1,QX200 ddPCR EvaGreen Supermix,1682,,,88.9,81.6,1174,15848,,,,,,17022,,,,,,,,,,,,,,,,,,1,1,13004,18588,10977,11502,""Absolute Quantification Experiment"",,,,87,0,,,,,,,,,,,,,"
"A04,Absolute Quantification,""ABS"",""SA004"",Ch1Unknown,""v3v4"",""Manual"",2916,QX200 ddPCR EvaGreen Supermix,58320,,,2975,2887,16072,1471,,,,,,17543,,,,,,,,,,,,,,,,,,1,1,13004,20028,10537,19233,""Absolute Quantification Experiment"",,,,2900,0,,,,,,,,,,,,,"
