Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","1",Ch1Unknown,"Cdiff","Manual",0.57,QX200 ddPCR EvaGreen Supermix,11.4,,,1.06,0.39,8,16651,,,,,,16659,,,,,,,,,,,,,,,,,,1,1,10497,12983,8466.2,8468.4,"Absolute Quantification Experiment",,,,0.79,0,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","9",Ch1Unknown,"Cdiff","Manual",0.08,QX200 ddPCR EvaGreen Supermix,1.6,,,0.38,0.02,1,14621,,,,,,14622,,,,,,,,,,,,,,,,,,1,1,10497,10632,8087.6,8087.8,"Absolute Quantification Experiment",,,,0.2,0,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","15",Ch1Unknown,"Cdiff","Manual",1.31,QX200 ddPCR EvaGreen Supermix,26.2,,,2,1.03,19,17047,,,,,,17066,,,,,,,,,,,,,,,,,,1,1,10497,13979,7692.9,7699.9,"Absolute Quantification Experiment",,,,1.6,0,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","23",Ch1Unknown,"Cdiff","Manual",1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,17509,0,,,,,,17509,,,,,,,,,,,,,,,,,,1,1,10497,19460,0,19460,"Absolute Quantification Experiment",,,,1000000,0,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","2",Ch1Unknown,"Cdiff","Manual",0.42,QX200 ddPCR EvaGreen Supermix,8.4,,,0.85,0.27,6,16884,,,,,,16890,,,,,,,,,,,,,,,,,,1,1,10497,12353,8322,8323.4,"Absolute Quantification Experiment",,,,0.61,0,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","10",Ch1Unknown,"Cdiff","Manual",0.15,QX200 ddPCR EvaGreen Supermix,3,,,0.48,0.07,2,15553,,,,,,15555,,,,,,,,,,,,,,,,,,1,1,10497,12010,7811.4,7811.9,"Absolute Quantification Experiment",,,,0.29,0,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","16",Ch1Unknown,"Cdiff","Manual",0.91,QX200 ddPCR EvaGreen Supermix,18.2,,,1.51,0.68,13,16740,,,,,,16753,,,,,,,,,,,,,,,,,,1,1,10497,13658,7421.3,7426.2,"Absolute Quantification Experiment",,,,1.2,0,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS","24",Ch1Unknown,"Cdiff","Manual",204,QX200 ddPCR EvaGreen Supermix,4080,,,212,200,2753,14537,,,,,,17290,,,,,,,,,,,,,,,,,,1,1,10497,18712,7622,9387.8,"Absolute Quantification Experiment",,,,210,0,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","3",Ch1Unknown,"Cdiff","Manual",0,QX200 ddPCR EvaGreen Supermix,0,,,0.3,0,0,11903,,,,,,11903,,,,,,,,,,,,,,,,,,1,1,10497,0,7323.6,7323.6,"Absolute Quantification Experiment",,,,0.14,0,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","11",Ch1Unknown,"Cdiff","Manual",0.39,QX200 ddPCR EvaGreen Supermix,7.8,,,0.85,0.24,5,15092,,,,,,15097,,,,,,,,,,,,,,,,,,1,1,10497,15861,7990.7,7993.3,"Absolute Quantification Experiment",,,,0.59,0,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","17",Ch1Unknown,"Cdiff","Manual",1.23,QX200 ddPCR EvaGreen Supermix,24.6,,,1.88,0.97,19,18095,,,,,,18114,,,,,,,,,,,,,,,,,,1,1,10497,14206,7569.7,7576.7,"Absolute Quantification Experiment",,,,1.5,0,,,,,,,,,,,,,
"C04",Absolute Quantification,"ABS","25",Ch1Unknown,"Cdiff","Manual",135.2,QX200 ddPCR EvaGreen Supermix,2704,,,141.1,132.2,2028,16652,,,,,,18680,,,,,,,,,,,,,,,,,,1,1,10497,18494,7669,8844.2,"Absolute Quantification Experiment",,,,140,0,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","4",Ch1Unknown,"Cdiff","Manual",0.28,QX200 ddPCR EvaGreen Supermix,5.6,,,0.66,0.16,4,16790,,,,,,16794,,,,,,,,,,,,,,,,,,1,1,10497,10516,9062.8,9063.1,"Absolute Quantification Experiment",,,,0.45,0,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","12",Ch1Unknown,"Cdiff","Manual",0.4,QX200 ddPCR EvaGreen Supermix,8,,,0.87,0.25,5,14655,,,,,,14660,,,,,,,,,,,,,,,,,,1,1,10497,15003,8016,8018.4,"Absolute Quantification Experiment",,,,0.61,0,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","18",Ch1Unknown,"Cdiff","Manual",1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,17603,0,,,,,,17603,,,,,,,,,,,,,,,,,,1,1,10497,20442,0,20442,"Absolute Quantification Experiment",,,,1000000,0,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","26",Ch1Unknown,"Cdiff","Manual",157.7,QX200 ddPCR EvaGreen Supermix,3154,,,164.3,154.4,2272,15834,,,,,,18106,,,,,,,,,,,,,,,,,,1,1,10497,18356,7867,9183.2,"Absolute Quantification Experiment",,,,160,0,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","5",Ch1Unknown,"Cdiff","Manual",0.5,QX200 ddPCR EvaGreen Supermix,10,,,0.98,0.33,7,16448,,,,,,16455,,,,,,,,,,,,,,,,,,1,1,10497,12297,8202,8203.7,"Absolute Quantification Experiment",,,,0.72,0,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","13",Ch1Unknown,"Cdiff","Manual",1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,16024,0,,,,,,16024,,,,,,,,,,,,,,,,,,1,1,10497,20067,0,20067,"Absolute Quantification Experiment",,,,1000000,0,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","19",Ch1Unknown,"Cdiff","Manual",1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,17462,0,,,,,,17462,,,,,,,,,,,,,,,,,,1,1,10497,20288,0,20288,"Absolute Quantification Experiment",,,,1000000,0,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS","27",Ch1Unknown,"Cdiff","Manual",28.7,QX200 ddPCR EvaGreen Supermix,574,,,31.5,27.3,421,17029,,,,,,17450,,,,,,,,,,,,,,,,,,1,1,10497,18014,8120.6,8359.2,"Absolute Quantification Experiment",,,,30,0,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","6",Ch1Unknown,"Cdiff","Manual",0.21,QX200 ddPCR EvaGreen Supermix,4.2,,,0.55,0.11,3,16935,,,,,,16938,,,,,,,,,,,,,,,,,,1,1,10497,15390,8142.1,8143.4,"Absolute Quantification Experiment",,,,0.36,0,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","14",Ch1Unknown,"Cdiff","Manual",1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,17213,0,,,,,,17213,,,,,,,,,,,,,,,,,,1,1,10497,20750,0,20750,"Absolute Quantification Experiment",,,,1000000,0,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","20",Ch1Unknown,"Cdiff","Manual",1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,16588,0,,,,,,16588,,,,,,,,,,,,,,,,,,1,1,10497,20627,0,20627,"Absolute Quantification Experiment",,,,1000000,0,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS","28",Ch1Unknown,"Cdiff","Manual",20.6,QX200 ddPCR EvaGreen Supermix,412,,,23,19.4,300,16971,,,,,,17271,,,,,,,,,,,,,,,,,,1,1,10497,18185,7722,7903.8,"Absolute Quantification Experiment",,,,22,0,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","7",Ch1Unknown,"Cdiff","Manual",1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,16480,0,,,,,,16480,,,,,,,,,,,,,,,,,,1,1,10497,19036,0,19036,"Absolute Quantification Experiment",,,,1000000,0,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","PozK",Ch1Unknown,"Cdiff","Manual",1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,14786,0,,,,,,14786,,,,,,,,,,,,,,,,,,1,1,10497,25865,0,25865,"Absolute Quantification Experiment",,,,1000000,0,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","21",Ch1Unknown,"Cdiff","Manual",11300,QX200 ddPCR EvaGreen Supermix,226000,,,15000,10200,14838,1,,,,,,14839,,,,,,,,,,,,,,,,,,1,1,10497,19875,7319.4,19874,"Absolute Quantification Experiment",,,,13000,0,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","29",Ch1Unknown,"Cdiff","Manual",20.2,QX200 ddPCR EvaGreen Supermix,404,,,22.7,19,270,15562,,,,,,15832,,,,,,,,,,,,,,,,,,1,1,10497,18234,7957.1,8132.3,"Absolute Quantification Experiment",,,,21,0,,,,,,,,,,,,,
